HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
8,6,1.83,3.6,4.33,A
4,13,1.3,4.75,12,H
5,16,2.37,3,3.25,H
7,17,2.45,3,3.1,A
3,21,10,5.75,1.28,A
18,12,1.28,5,12,H
2,1,2.4,3.1,3.1,A
15,14,2.6,3,2.75,A
9,6,1.36,5.25,7,H
12,8,2.37,3.3,2.7,H
13,7,1.6,3.75,5,H
21,18,1.9,3.5,3.9,H
16,4,6.5,4.2,1.44,A
1,3,1.9,3.5,4,H
17,5,3,3.1,2.4,A
10,2,2.8,3.1,2.6,D
7,15,2.9,3.3,2.37,A
4,17,1.22,6,11,H
14,12,3.5,3.6,2,A
2,21,3.5,3.75,1.95,A
6,1,3.3,3.5,2.1,H
3,16,5.5,3.6,1.65,A
8,9,3.2,3.1,2.3,D
5,13,2.15,3.4,3.25,H
18,10,1.28,5.5,9.5,H
8,17,1.9,3.2,4.33,D
5,1,2,3.3,3.75,A
14,4,11,5,1.28,H
21,15,1.16,7.5,13,H
12,20,2.2,3.2,3.5,H
10,18,5.5,3.75,1.61,D
9,6,1.4,4.2,9,H
19,7,2.2,3.2,3.4,D
1,16,3,3.2,2.4,H
6,14,2.15,3.4,3.25,H
17,21,15,7,1.16,A
4,19,1.16,7.5,13,H
20,10,2.3,3.2,3.2,H
15,5,2.37,3.3,2.9,A
2,12,1.6,3.6,6,D
18,9,1.95,3.3,4,H
7,8,2.7,3.4,2.5,A
19,6,2.5,3,3,D
16,20,1.75,3.4,5.25,H
21,4,1.9,3.25,4.33,A
12,15,2.1,3.1,3.8,D
10,7,1.95,3.1,4.33,A
5,17,2.05,3.2,3.75,D
8,18,4.5,3.5,1.8,A
14,9,4.75,3.5,1.75,D
2,1,1.72,3.5,5,D
6,8,2.2,3.25,3.25,H
17,12,2.5,3,3,A
20,1,2.45,3.1,3,A
15,10,2.05,3.2,3.75,A
18,16,1.36,4.75,8.5,A
14,19,2.15,3,3.7,D
7,5,2.3,3,3.4,D
4,2,1.16,7,15,H
9,21,6,3.75,1.6,A
16,2,1.85,3.5,4.2,D
19,9,5,3.5,1.75,H
1,15,2.05,3.3,3.6,H
21,14,1.12,8,21,H
2,20,1.53,4,6,H
10,17,2,3.3,3.75,A
16,7,1.65,4,5,A
5,6,2.2,3.25,3.3,H
8,4,7,4.5,1.4,A
12,18,5,3.6,1.7,D
15,20,1.85,3.4,4.33,H
17,16,3.5,3.1,2.2,A
6,21,9,5,1.33,A
14,12,2.25,3.1,3.4,D
19,8,2.87,3.1,2.55,D
7,2,3.4,3.4,2.1,A
4,5,1.14,7.5,17,H
9,10,1.33,4.75,10,D
18,1,1.5,4.5,5.75,A
12,7,2.05,3.25,3.75,D
10,6,2.4,3.2,3,H
21,19,1.12,8,21,H
1,17,1.8,3.5,4.5,H
2,15,1.53,4.2,6,H
5,14,2.1,3.25,3.6,H
8,9,3.4,3.3,2.15,A
16,4,6.5,4,1.5,A
20,18,6,3.75,1.55,A
20,7,2.4,3.25,2.9,A
15,16,2.8,3.1,2.6,D
17,20,2.1,3.2,3.6,H
14,8,2.5,3,3,D
19,10,2.3,3,3.4,D
6,12,2.15,3.1,3.6,D
7,21,10,5.25,1.28,A
4,1,1.22,6,12,H
18,2,1.72,3.75,4.75,H
9,5,1.44,4.33,7,H
16,6,1.66,4,4.75,D
10,4,10,4.75,1.3,D
2,17,1.45,4.2,7.5,H
21,8,1.16,7.5,13,H
1,14,1.75,3.5,4.75,H
15,18,4,3.5,1.9,A
12,9,4,3.3,1.95,H
5,19,2,3.2,4,D
21,16,1.33,5,9,H
6,2,3.6,3.3,2.05,D
14,10,1.95,3.2,4.33,H
7,18,4.5,4,1.7,H
4,20,1.1,9,21,H
9,1,1.5,4.33,6.5,D
17,15,2.5,3.1,2.9,H
8,5,2.05,3.2,3.75,D
19,12,2.45,2.9,3.2,H
20,14,2.75,3,2.75,A
16,19,1.57,3.75,6,H
5,21,6.5,4.5,1.44,A
1,6,1.8,3.3,5,D
10,8,2.45,3.2,2.9,D
15,7,2,3.4,3.75,H
18,17,1.36,4.75,8,H
2,9,2.25,3.4,3.1,A
12,4,7,4.33,1.44,A
5,12,2.05,3.1,4,A
6,20,1.95,3.3,4,H
21,10,1.16,7.5,13,H
8,1,2,3.5,3.6,H
7,17,2,3.3,3.75,A
19,2,4.33,3.5,1.83,D
14,18,4,3.4,1.9,H
9,16,1.57,3.75,6,H
4,15,1.16,7.5,13,H
12,21,7,3.6,1.55,A
10,5,2.5,3.2,2.9,D
1,7,1.95,3.5,3.8,A
20,9,6.5,4.75,1.45,H
2,8,1.5,4,7,H
15,19,2,3.1,4.2,A
18,6,1.33,5,9,H
17,4,10,5.25,1.28,D
16,14,1.65,4,4.75,H
8,16,2.9,3.2,2.45,D
10,12,2.87,3.1,2.55,H
21,1,1.2,7,12,H
19,20,2,3.3,3.8,H
6,17,2,3.3,3.8,H
14,2,3.6,3.4,2.05,D
9,15,1.4,4.5,8,A
5,18,3.8,3.5,1.95,A
4,7,1.18,7,13,H
20,5,2.75,3.2,2.6,A
12,8,2.1,3.2,3.6,D
17,9,6.5,4.5,1.45,A
2,21,4.5,4.2,1.66,A
15,6,2.15,3.2,3.5,H
16,10,1.55,4,6,A
7,14,2.25,3.3,3.1,D
18,4,3.4,3.4,2.1,A
1,19,1.8,3.6,4.33,H
21,20,1.08,11,21,H
5,16,2.87,3.2,2.5,A
6,4,10,5.25,1.28,A
8,15,2.1,3.25,3.6,D
12,1,2.3,3.4,3,A
19,18,9,6.5,1.25,A
14,17,1.75,3.4,5,H
