Time,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
20,9,5,1.44,4.33,7,H
17,16,6,1.66,4,4.75,D
18,10,4,10,4.75,1.3,D
20,2,17,1.45,4.2,7.5,H
20,21,8,1.16,7.5,13,H
21,1,14,1.75,3.5,4.75,H
19,15,18,4,3.5,1.9,A
20,12,9,4,3.3,1.95,H
20,5,19,2,3.2,4,D
18,21,16,1.33,5,9,H
20,6,2,3.6,3.3,2.05,D
15,14,10,1.95,3.2,4.33,H
17,7,18,4.5,4,1.7,H
20,4,20,1.1,9,21,H
20,9,1,1.5,4.33,6.5,D
19,17,15,2.5,3.1,2.9,H
21,8,5,2.05,3.2,3.75,D
21,19,12,2.45,2.9,3.2,H
20,20,14,2.75,3,2.75,A
15,16,19,1.57,3.75,6,H
18,5,21,6.5,4.5,1.44,A
20,1,6,1.8,3.3,5,D
15,10,8,2.45,3.2,2.9,D
15,15,7,2,3.4,3.75,H
18,18,17,1.36,4.75,8,H
20,2,9,2.25,3.4,3.1,A
21,12,4,7,4.33,1.44,A
20,5,12,2.05,3.1,4,A
15,6,20,1.95,3.3,4,H
18,21,10,1.16,7.5,13,H
20,8,1,2,3.5,3.6,H
15,7,17,2,3.3,3.75,A
17,19,2,4.33,3.5,1.83,D
20,14,18,4,3.4,1.9,H
18,9,16,1.57,3.75,6,H
20,4,15,1.16,7.5,13,H
20,12,21,7,3.6,1.55,A
15,10,5,2.5,3.2,2.9,D
18,1,7,1.95,3.5,3.8,A
20,20,9,6.5,4.75,1.45,H
15,2,8,1.5,4,7,H
15,15,19,2,3.1,4.2,A
17,18,6,1.33,5,9,H
20,17,4,10,5.25,1.28,D
20,16,14,1.65,4,4.75,H
20,8,16,2.9,3.2,2.45,D
15,10,12,2.87,3.1,2.55,H
18,21,1,1.2,7,12,H
20,19,20,2,3.3,3.8,H
15,6,17,2,3.3,3.8,H
17,14,2,3.6,3.4,2.05,D
20,9,15,1.4,4.5,8,A
19,5,18,3.8,3.5,1.95,A
20,4,7,1.18,7,13,H
15,20,5,2.75,3.2,2.6,A
15,12,8,2.1,3.2,3.6,D
18,17,9,6.5,4.5,1.45,A
20,2,21,4.5,4.2,1.66,A
15,15,6,2.15,3.2,3.5,H
15,16,10,1.55,4,6,A
15,7,14,2.25,3.3,3.1,D
17,18,4,3.4,3.4,2.1,A
20,1,19,1.8,3.6,4.33,H
19,21,20,1.08,11,21,H
19,5,16,2.87,3.2,2.5,A
21,6,4,10,5.25,1.28,A
15,8,15,2.1,3.25,3.6,D
18,12,1,2.3,3.4,3,A
20,19,18,9,6.5,1.25,A
15,14,17,1.75,3.4,5,H
17,10,2,4.75,3.6,1.72,D
20,9,7,1.25,5.5,12,H
19,4,9,1.6,3.8,5.75,A
21,18,21,3.75,3.4,2,A
15,20,8,2.87,3.2,2.5,H
15,2,5,1.33,5,8.5,H
18,7,6,2.15,3.25,3.4,D
20,17,19,2.25,3.2,3.3,A
15,15,14,2.5,3,3,D
17,1,10,1.66,3.8,5,D
20,16,12,1.75,3.75,4.5,H
15,17,8,2.5,3.2,2.87,H
15,1,5,1.65,3.75,5.5,A
15,7,19,2.05,3.2,3.8,A
